,Share,Delay,EKF,Delay strategy,Dynamics,accuracy,precision
0,True,True,True,,circular_path,1.2422310105736138,0.9775907158026748
1,True,True,True,,linear_path,1.9009276504106973,0.9469890004083905
2,True,True,True,,sin_path,1.673536310510282,0.9586293815625935
3,True,True,True,extrapolate,circular_path,1.2475282960143734,0.9445924121821744
4,True,True,True,extrapolate,linear_path,1.9149792494197504,0.9968032066639504
5,True,True,True,extrapolate,sin_path,1.6611596449659278,0.9665904477038273
6,True,True,True,extrapolate_plus,circular_path,1.286194876970319,0.9539274207932519
7,True,True,True,extrapolate_plus,linear_path,1.938737493514666,1.0076935569265573
8,True,True,True,extrapolate_plus,sin_path,1.6696996603745844,0.9798002588166177
9,True,True,False,,circular_path,1.3330359179508282,0.9706614958325155
10,True,True,False,,linear_path,1.8972081422487235,0.9948632480364437
11,True,True,False,,sin_path,1.5295149857612993,0.9580901374240213
12,True,True,False,extrapolate,circular_path,1.2747727349549727,0.9683231177521288
13,True,True,False,extrapolate,linear_path,1.9708566246158876,0.9799653646444169
14,True,True,False,extrapolate,sin_path,1.5302274474622877,0.9780914921933939
15,True,True,False,extrapolate_plus,circular_path,1.2779034842077268,0.9829650542598278
16,True,True,False,extrapolate_plus,linear_path,1.9986648795507957,0.988450360252522
17,True,True,False,extrapolate_plus,sin_path,1.3902928815364433,0.937489436138576
18,True,False,True,,circular_path,1.230515786334315,0.9253528944765901
19,True,False,True,,linear_path,0.9010598105210268,0.9438523137966482
20,True,False,True,,sin_path,0.9138099541773621,0.9052904656823363
21,True,False,False,,circular_path,1.2216686396646088,0.944449654614779
22,True,False,False,,linear_path,0.8061479168555462,0.91162583002074
23,True,False,False,,sin_path,0.8806188902128512,0.9202012333698311
24,False,False,True,,circular_path,1.7596254053733538,2.022999763506932
25,False,False,True,,linear_path,1.4208900420492667,1.9981654897887904
26,False,False,True,,sin_path,1.4360071586307415,1.9896770864384397
27,False,False,False,,circular_path,1.8410206514453462,2.025556857499256
28,False,False,False,,linear_path,1.4428056189225522,2.0650274778155184
29,False,False,False,,sin_path,1.5534444049729728,2.057538236478683
